state,date,price,macd_12,macd_26,ema_100,rsi_6,opening_0,closing_0,min_0,max_0,opening_1,closing_1,min_1,max_1,opening_2,closing_2,min_2,max_2,opening_3,closing_3,min_3,max_3,opening_4,closing_4,min_4,max_4,opening_5,closing_5,min_5,max_5,opening_6,closing_6,min_6,max_6,opening_7,closing_7,min_7,max_7,opening_8,closing_8,min_8,max_8,opening_9,closing_9,min_9,max_9,opening_10,closing_10,min_10,max_10,opening_11,closing_11,min_11,max_11,opening_12,closing_12,min_12,max_12,opening_13,closing_13,min_13,max_13,opening_14,closing_14,min_14,max_14
LONG,2024-01-08 19:32:06,2269.27,9.888092106179101,9.329309651773224,2236.230401089579,60.22269849183493,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.99,2258.0,2268.52,2264.98,2267.89,2261.47,2268.88,2267.9,2264.39,2263.0,2272.71,2264.39,2261.18,2256.07,2265.99,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2269.27,2268.6,2271.1
LONG,2024-01-08 20:43:26,2280.49,8.676612025977647,9.072038232320383,2238.8012056985126,76.93185246649968,2265.48,2264.99,2258.0,2268.52,2264.98,2267.89,2261.47,2268.88,2267.9,2264.39,2263.0,2272.71,2264.39,2261.18,2256.07,2265.99,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.83,2268.78,2281.53
LONG,2024-01-08 20:51:41,2295.01,10.171025941307107,9.15393714952788,2239.914247209041,86.08270430760436,2264.98,2267.89,2261.47,2268.88,2267.9,2264.39,2263.0,2272.71,2264.39,2261.18,2256.07,2265.99,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2295.39,2278.43,2296.43
LONG,2024-01-08 20:59:51,2306.23,11.105156995437937,9.223132042426462,2240.155039288249,89.56817965690553,2264.98,2267.89,2261.47,2268.88,2267.9,2264.39,2263.0,2272.71,2264.39,2261.18,2256.07,2265.99,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2307.68,2278.43,2307.69
LONG,2024-01-08 21:24:54,2318.51,15.40979599064849,9.962888064530476,2243.1094238930923,92.13440025889217,2264.39,2261.18,2256.07,2265.99,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2306.82,2278.43,2307.69,2306.82,2312.21,2305.3,2320.0,2312.2,2319.46,2309.64,2319.8
LONG,2024-01-08 21:36:34,2331.61,17.964058473216028,10.563391364630219,2244.887055142342,94.08570300277444,2261.18,2262.18,2256.03,2263.95,2262.17,2261.06,2258.48,2264.4,2261.07,2272.64,2261.06,2283.02,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2306.82,2278.43,2307.69,2306.82,2312.21,2305.3,2320.0,2312.2,2320.07,2309.64,2320.67,2320.06,2331.81,2319.18,2334.24
LONG,2024-01-08 22:15:40,2344.3,23.587571863560242,12.987648923109681,2250.556049671897,92.76164775844535,2272.65,2269.59,2266.64,2275.0,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2306.82,2278.43,2307.69,2306.82,2312.21,2305.3,2320.0,2312.2,2320.07,2309.64,2320.67,2320.06,2337.59,2319.18,2340.32,2337.59,2335.99,2320.39,2337.96,2335.98,2342.34,2323.29,2343.7,2342.34,2342.74,2341.6,2345.66
SHORT,2024-01-08 22:32:11,2355.09,25.22296224530919,13.893311868130406,2252.656751364503,94.80715093575044,2269.59,2270.76,2269.59,2285.0,2270.75,2269.34,2266.6,2272.06,2269.35,2264.27,2260.6,2271.1,2264.26,2263.63,2259.39,2265.19,2263.63,2267.66,2261.24,2267.8,2267.67,2271.03,2264.58,2272.7,2271.03,2280.57,2268.78,2281.53,2280.58,2306.82,2278.43,2307.69,2306.82,2312.21,2305.3,2320.0,2312.2,2320.07,2309.64,2320.67,2320.06,2337.59,2319.18,2340.32,2337.59,2335.99,2320.39,2337.96,2335.98,2342.34,2323.29,2343.7,2342.34,2344.18,2336.15,2352.18,2344.17,2355.8,2344.17,2355.81
SHORT,2024-01-09 01:29:53,2337.31,15.872947320389358,17.87487030938882,2270.227441857659,49.76569996722731,2337.59,2335.99,2320.39,2337.96,2335.98,2342.34,2323.29,2343.7,2342.34,2344.18,2336.15,2352.18,2344.17,2351.89,2344.17,2358.2,2351.89,2354.56,2349.4,2357.1,2354.57,2349.6,2346.83,2357.79,2349.61,2348.71,2344.26,2350.78,2348.71,2346.63,2345.46,2353.2,2346.63,2336.4,2334.23,2347.51,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57
SHORT,2024-01-09 03:22:46,2325.65,6.8516166450112905,14.334593110518936,2279.383389842241,32.99123755052455,2346.63,2336.4,2334.23,2347.51,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2325.43,2324.74,2335.88
